"Species","Year","Region","Biomass"
"sockeye",2006,"WKam",25310
"sockeye",2007,"WKam",38794
"sockeye",2008,"WKam",28087
"sockeye",2009,"WKam",22663
"sockeye",2010,"WKam",22946
"sockeye",2011,"WKam",26174
"sockeye",2012,"WKam",34015
"sockeye",2013,"WKam",36368
"sockeye",2014,"WKam",29827
"sockeye",2015,"WKam",37112
"sockeye",1952,"EKam",909
"sockeye",1953,"EKam",409
"sockeye",1954,"EKam",2650
"sockeye",1955,"EKam",11106
"sockeye",1956,"EKam",9380
"sockeye",1957,"EKam",11085
"sockeye",1958,"EKam",16257
"sockeye",1959,"EKam",15719
"sockeye",1960,"EKam",18024
"sockeye",1961,"EKam",7662
"sockeye",1962,"EKam",8922
"sockeye",1963,"EKam",11210
"sockeye",1964,"EKam",14273
"sockeye",1965,"EKam",11364
"sockeye",1966,"EKam",16755
"sockeye",1967,"EKam",21646
"sockeye",1968,"EKam",18517
"sockeye",1969,"EKam",17328
"sockeye",1970,"EKam",16855
"sockeye",1971,"EKam",10927
"sockeye",1972,"EKam",10503
"sockeye",1973,"EKam",11399
"sockeye",1974,"EKam",2973
"sockeye",1975,"EKam",10079
"sockeye",1976,"EKam",9013
"sockeye",1977,"EKam",6816
"sockeye",1978,"EKam",9340
"sockeye",1979,"EKam",8082
"sockeye",1980,"EKam",8342
"sockeye",1981,"EKam",7691
"sockeye",1982,"EKam",6193
"sockeye",1983,"EKam",8229
"sockeye",1984,"EKam",7585
"sockeye",1985,"EKam",6339
"sockeye",1986,"EKam",5744
"sockeye",1987,"EKam",6000
"sockeye",1988,"EKam",5759
"sockeye",1989,"EKam",4217
"sockeye",1990,"EKam",1932
"sockeye",1991,"EKam",1789
"sockeye",1992,"EKam",5423
"sockeye",1993,"EKam",9523
"sockeye",1994,"EKam",8393
"sockeye",1995,"EKam",14038
"sockeye",1996,"EKam",13615
"sockeye",1997,"EKam",12134
"sockeye",1998,"EKam",7597
"sockeye",1999,"EKam",10596
"sockeye",2000,"EKam",7889
"sockeye",2001,"EKam",9138
"sockeye",2002,"EKam",5206
"sockeye",2003,"EKam",7961
"sockeye",2004,"EKam",6573
"sockeye",2005,"EKam",7885
"sockeye",2006,"EKam",9231
"sockeye",2007,"EKam",10866
"sockeye",2008,"EKam",10565
"sockeye",2009,"EKam",14850
"sockeye",2010,"EKam",14231
"sockeye",2011,"EKam",12498
"sockeye",2012,"EKam",15735
"sockeye",2013,"EKam",18953
"sockeye",2014,"EKam",14180
"sockeye",2015,"EKam",14740
"sockeye",1952,"WAK",60874
"sockeye",1953,"WAK",31468
"sockeye",1954,"WAK",26016
"sockeye",1955,"WAK",25321
"sockeye",1956,"WAK",66965
"sockeye",1957,"WAK",49792
"sockeye",1958,"WAK",19128
"sockeye",1959,"WAK",37085
"sockeye",1960,"WAK",91432
"sockeye",1961,"WAK",68789
"sockeye",1962,"WAK",32760
"sockeye",1963,"WAK",21295
"sockeye",1964,"WAK",30009
"sockeye",1965,"WAK",125913
"sockeye",1966,"WAK",58435
"sockeye",1967,"WAK",36126
